#
#  lco_lactis_1064-c11_scyc 1.0 Pathways link table generated on Tue Oct 24, 2023
#
PWY-5851	demethylmenaquinol-9 biosynthesis	demethylmenaquinone-9 biosynthesis
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-4261	glycerol degradation I	
PWY8J2-1	bacillithiol biosynthesis	
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY-6902	chitin degradation II (Vibrio)	
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
PWY-8302	<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine degradation	Cys-Gly-3M3SH degradation
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis	deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
PWY-7791	UMP biosynthesis III	uridine-5'-phosphate biosynthesis III	<i>de novo</i> biosynthesis of uridine-5'-phosphate III	<i>de novo</i> biosynthesis of uridine-5'-monophosphate III
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-4101	D-sorbitol degradation I	sorbitol utilization
PWY-5939	pyruvate fermentation to (<i>R</i>)-acetoin II	D-acetoin biosynthesis II	pyruvic acid fermentation to (<i>R</i>)-acetoin II
PWY-8136	NADPH repair (prokaryotes)	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
PWY-5938	pyruvate fermentation to (<i>R</i>)-acetoin I	D-acetoin biosynthesis I	pyruvic acid fermentation to (<i>R</i>)-acetoin I
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	superpathway of demethylmenaquinone-9 biosynthesis
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis	7-cyano-7-deazaguanine biosynthesis	7-cyano-7-carbaguanine biosynthesis
PWY-5481	pyruvate fermentation to (<i>S</i>)-lactate	pyruvic acid fermentation to L-lactic acid
GLUTAMINEFUM-PWY	L-glutamine degradation II	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
