#
#  st_thermophilus_cbc-s77_scyc 1.0 Reactions link table generated on Tue Oct 24, 2023
#
RXN-16820	EC-2.8.1.13
RXN-17590	EC-1.8.1.5
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
RXN-17587	
RXN0-2023	EC-2.8.1.13
ARYLFORMAMIDASE-RXN	EC-3.5.1.9
ABC-7-RXN	EC-7.3.2.3
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
ABC-70-RXN	EC-7.3.2.3
RXN-15164	EC-2.7.1.191
ADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-13141	EC-4.2.1.136
2.3.1.157-RXN	EC-2.3.1.157
RXN-15087	EC-2.7.1.191
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN-22613	EC-3.5.1.28
RXN0-4121	EC-3.9.1
RXN-15162	EC-2.7.1.191
RXN0-6727	EC-4.2.1.136
TRANS-RXN-165	EC-2.7.1.191
RXN-16938	EC-3.5.1.28
SORBITOL-6-PHOSPHATASE-RXN	EC-3.1.3.50
RXN-15165	EC-2.7.1.191
RXN-11578	EC-2.1.1.170
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
TRANS-RXN-167A	EC-2.7.1.191
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN0-5225	EC-3.5.1.28
RXN-9680	EC-2.1.1.161
RXN0-2161	EC-6.1.1.11
RXN66-526	EC-3.1.3.58	EC-3.1.3.9
RXN0-5214	EC-3.1.1
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-11297	EC-2.3.2.18
RXN0-6731	EC-2.1.1.242
TEICHOICSYN5-RXN	EC-2.4.1.52
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN-21036	EC-7.2.2
RXN-14267	EC-3.5.1.28
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
CARBPSYN-RXN	EC-6.3.5.5
RXN-22735	EC-6.3.4.16
2.4.1.54-RXN	EC-2.4.1.54
RXN-16909	
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
RXN-22736	
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
RXN-14196	
RXN0-300	EC-1.1.1
RXN-19772	
IMP-DEHYDROG-RXN	EC-1.1.1.205
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.10
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
MANNITOL-1-PHOSPHATASE-RXN	EC-3.1.3.22
MMUM-RXN	EC-2.1.1.10
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
IGPSYN-RXN	EC-4.1.1.48
PRAISOM-RXN	EC-5.3.1.24
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN0-1061	EC-3.6.4.10	EC-5.6.1.7
RXN0-2382	EC-4.2.1.122
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN0-2381	EC-4.1.2.8
TRYPSYN-RXN	EC-4.2.1.20
RXN-16660	
DISULFOXRED-RXN	EC-1.8.4
