#
#  b_breve_689b_ccyc 1.0 Pathways link table generated on Tue Oct 24, 2023
#
LEUSYN-PWY	L-leucine biosynthesis	
PWY-7980	ATP biosynthesis	
PWY-5851	demethylmenaquinol-9 biosynthesis	demethylmenaquinone-9 biosynthesis
PWY0-1301	melibiose degradation	
PWY-2161	folate polyglutamylation	
PWY-6630	superpathway of L-tyrosine biosynthesis	
PWY-1001	cellulose biosynthesis	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis	UDP-galactofuranose biosynthesis
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PHESYN	L-phenylalanine biosynthesis I	
PWY-8105	queuosine biosynthesis II (queuine salvage)	
PWY-5662	glucosylglycerate biosynthesis I	
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
GLUTAMINEFUM-PWY	L-glutamine degradation II	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
THIOREDOX-PWY	thioredoxin pathway	
PWY-5890	menaquinol-10 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-10 biosynthesis
PWY-4381	fatty acid biosynthesis initiation (type II)	de novo fatty acid biosynthesis, initial reactions	fatty acid biosynthesis initiation (bacteria and plants)
PWY-8135	bile acids deconjugation	bile acids C24 amide hydrolysis
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5481	pyruvate fermentation to (<i>S</i>)-lactate	pyruvic acid fermentation to L-lactic acid
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PWY-8314	inulin degradation	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
PWY-8072	alanine racemization	
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA	pyruvate dehydrogenase system
