#
#  b_breve_689b_ccyc 1.0 Reactions link table generated on Tue Oct 24, 2023
#
RXN-7719	EC-1.8.1.4
RXN0-4261	EC-5.6.2.3
RXN-17393	EC-4.2.2
RXN-11135	EC-5.6.2.4
1.8.1.4-RXN	EC-1.8.1.4
RXN0-5190	EC-4.2.2
RXN0-1132	EC-1.8.1.4
RXN-9634	EC-4.2.1.59
RXN-15297	EC-2.7.1.184
RXN-9635	EC-1.3.1.9
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-17391	EC-4.2.2
RXN-7716	EC-1.8.1.4
RXN-17392	EC-4.2.2
NQOR-RXN	EC-1.6.5.2
RXN0-5259	
RXN-16333	
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
RXN-15447	
RXN1YI0-16	EC-1.6.5.2
RXN-21238	
RXN-22711	
RXN0-3281	EC-1.17.98.4
RXN-22729	
RXN0-4121	EC-3.9.1
RXN-12303	EC-1.6.5.2
RXN-8629	EC-1.8.1.4
RXN0-7386	EC-1.6.5.2
RXN-19671	EC-1.6.5.2
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-7904	EC-6.2.1.3
TRANS-RXN0-277	EC-7.1.1.1
RXN-11586	EC-2.1.1.192
2.3.1.180-RXN	EC-2.3.1.180
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN-18305	EC-2.4.1.342
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
RXN-19911	EC-3.1.1.106
ACETYLGLUTKIN-RXN	EC-2.7.2.8
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN0-7013	EC-3.1.1.106
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
RXN0-5515	EC-2.7.7.41
GSADENYLATION-RXN	EC-2.7.7.42
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41
RXN-20524	EC-2.7.7.41
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-16380	EC-6.2.1.3
RXN-10	EC-6.3.4.5
DISULFOXRED-RXN	EC-1.8.4
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN0-366	EC-3.2.2.1
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
ARGSUCCINLYA-RXN	EC-4.3.2.1
RIBOPHOSPHAT-RXN	EC-3.1.3.104
RXN-9632	EC-2.3.1.41
RXN-22	EC-4.3.2.1
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
RXN0-20	EC-2.5.1.145
THIAZOLSYN2-RXN	EC-2.8.1.10
RXN-21016	
RXN0-6359	EC-2.8.1.1
RXN0-5509	EC-3.1.26
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXN0-6478	EC-3.1.26.12
RXN0-6479	EC-3.1.13.1
RXN0-4222	EC-3.1.13.1
RXN-19040	EC-2.8.1.1
RXN0-6485	EC-3.1.26.12
RXN-1623	EC-2.3.1.51
ISOCITDEH-RXN	EC-1.1.1.42
RXN-9951	
RXN-8642	
RXN1G-4355	EC-6.4.1.3
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
RXN-17859	EC-2.3.1.255
RXN-14965	EC-3.1.3.21
RXN-14964	EC-3.1.3.21
RXN-17862	EC-2.3.1.255
PROPIONYL-COA-CARBOXY-RXN	EC-6.4.1.3
GLYCEROL-1-PHOSPHATASE-RXN	EC-3.1.3.21
RXN-17861	EC-2.3.1.255
RXN-12463	EC-2.1.1.226
RXN-17864	EC-2.3.1.255
RXN-17860	EC-2.3.1.255
NAD-KIN-RXN	EC-2.7.1.23
RXN-17863	EC-2.3.1.255
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
THRESYN-RXN	EC-4.2.3.1
RXN-14570	EC-2.3.1.234
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
RXN-8457	EC-6.4.1.7
6PGLUCONOLACT-RXN	EC-3.1.1.31
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
GLU6PDEHYDROG-RXN	EC-1.1.1.49
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
BIOTINLIG-RXN	EC-6.3.4.15
RXN0-7192	
RXN-8852	EC-3.1.3.85
RXN-22002	
RXN-14089	EC-3.2.1.185
RXN-9382	EC-2.3.1.183
RXN-15296	EC-5.3.1.31
3.2.1.96-RXN	EC-3.2.1.96
RXN-14455	EC-7.2.2.8
RXN-10837	EC-2.3.1.183
6.3.5.7-RXN	EC-6.3.5.7
RXN-20082	
RXN-20083	
RXN-21561	
RXN0-7165	EC-2.3.1.57
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.27
RXN-12460	EC-3.1.1.29
SPERMACTRAN-RXN	EC-2.3.1.57
RXN-22554	
RXN-16637	EC-3.1.1.29
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN-10814	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.27
RXN-19536	EC-2.3.1.57
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
RXN-14900	EC-3.2.1.170
RXN-15125	
2PGADEHYDRAT-RXN	EC-4.2.1.11
RXN-17883	
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-17882	
DIAMACTRANS-RXN	EC-2.3.1.57
RXN0-303	EC-5.3.1
RXN-10018	
ALLOSE-KINASE-RXN	EC-2.7.1.55
4.3.1.17-RXN	EC-4.3.1.17
RXN-22603	
RXN-14290	
RXN-9939	EC-2.3.1.57
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
RXN-14883	
HOMOSERKIN-RXN	EC-2.7.1.39
RXN-14501	
L-FUCONATE-HYDRATASE-RXN	EC-4.2.1.68
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN-11737	EC-2.6.1.1
RXN-15139	
RXN-11109	EC-5.6.2
RXN-0	EC-2.3.1.57
RXN-14372	EC-2.4.1.18
RXN0-7080	
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
GLUTKIN-RXN	EC-2.7.2.11
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.5	EC-2.6.1.27
RXN-13697	EC-2.6.1.1
ASPAMINOTRANS-RXN	EC-2.6.1.1
5.99.1.3-RXN	EC-5.6.2.2
RXN-7710	EC-2.4.1.18
RXN-17875	EC-3.4.11.18
CITSYN-RXN	EC-2.3.3.3	EC-2.3.3.16	EC-2.3.3.1
TETHYDPICSUCC-RXN	EC-2.3.1.117
1.1.1.292-RXN	EC-1.1.1.292
RXN-8992	EC-2.5.1.90
PRTRANS-RXN	EC-2.4.2.18
RXN-22604	
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN-4821	EC-3.5.99
RXN-14904	
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-14371	EC-2.4.1.18
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN0-7187	
4.2.99.18-RXN	EC-4.2.99.18
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
RXN-18031	
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
RXN-22319	
RXN-7669	EC-2.4.1.18
RXN-13329	
ACONITATEHYDR-RXN	
RXN-22388	
RXN-11811	
RXN-13028	EC-2.4.99.16
ACONITATEDEHYDR-RXN	
RXN-20459	
RXN-14047	EC-4.2.1.3
RXN-14409	
RXN-14481	
RXN-14812	
RXN-8315	
RXN0-6274	EC-2.5.1.75
RXN-18777	EC-2.4.1.18
RXN-12540	
RXN-14811	
RXN-22613	EC-3.5.1.28
RXN0-5063	EC-2.8.4.3
RXN-14882	
RXN-14480	
RXN-14500	
RXN-11042	
RXN-16938	EC-3.5.1.28
GDPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-17881	
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-22606	
RXN-12623	EC-3.2.1.202
RXN-22643	
TRANS-RXN-323	
RXN-16765	
RXN0-1441	EC-3.6.1.53	EC-3.6.1.13
RXN-12754	
RXN0-302	EC-4.6.1.12
RXN0-5225	EC-3.5.1.28
RXN-12609	EC-5.3.99.10
RXN-17753	
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-10016	
ABC-7-RXN	EC-7.3.2.3
RXN-22287	
RXN-12614	
RXN-20457	
RXN-9789	EC-2.7.7.73
RXN-22605	
RXN-9788	EC-2.8.1
RXN-6081	
ABC-70-RXN	EC-7.3.2.3
RXN-14267	EC-3.5.1.28
RXN-11319	EC-4.1.99.19
RXN-19921	
RXN-9772	EC-1.5.99
RXN-22286	
RXN-14192	EC-2.7.1.40
RXN-18032	
QUINOLINATE-SYNTHE-MULTI-RXN	
RXN0-5305	
PEPDEPHOS-RXN	EC-2.7.1.40
RXN-14207	EC-2.7.1.40
RXN-21077	EC-4.2.99
RXN-14117	EC-2.7.1.40
RXN0-6721	
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
RXN-21072	EC-4.2.99
RXN-18232	
RXN-12753	
RXN-20900	
RXN-17363	EC-2.3.1.269
HOMSUCTRAN-RXN	EC-2.3.1.46
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN0-7188	
RXN0-3201	EC-3.4.21
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-22553	
ATPSYN-RXN	EC-7.1.2.2
RXN-22427	
RXN-8899	
RXN-6341	EC-6.3.2.17
RXN0-2921	EC-6.3.2.17
TRIPHOSPHATASE-RXN	EC-3.6.1.25
RXN-13459	EC-5.3.2.6
RXN-11601	EC-2.1.1.190
RXN-20456	
RXN-21228	EC-2.3.3.16
RXN0-5510	EC-3.6.1
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN-14430	EC-1.14.99.50
GLUTAMIDOTRANS-RXN	EC-4.3.2.10
RXN-14431	EC-2.1.1.44
DALADALALIG-RXN	EC-6.3.2.4
RXN-15804	
RXN0-5189	EC-3.2.2.20
RXN-18088	
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-18089	
RXN-17900	
RXN-14438	EC-2.1.1.44
RXN-14437	EC-2.1.1.44
3.1.11.2-RXN	EC-3.1.11.2
RXN-21404	
2.1.1.44-RXN	EC-2.1.1.44
RXN0-1281	EC-1.1.1
ASPARTASE-RXN	EC-4.3.1.1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
2.5.1.19-RXN	EC-2.5.1.19
RXN-17878	EC-3.4.11.18
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
2.1.1.63-RXN	EC-2.1.1.63
PYRIMSYN3-RXN	EC-2.7.4.7
RXN-21415	EC-7.1.1.2
ACETATEKIN-RXN	EC-2.7.2.15	EC-2.7.2.1
PROPKIN-RXN	EC-2.7.2.7	EC-2.7.2.1	EC-2.7.2.15	EC-2.7.2.14
3.2.1.26-RXN	EC-3.2.1
RXN-20037	EC-2.8.1.7
RXN-17824	EC-2.1.1.63
RXN-12621	
RXN-17874	EC-3.4.11.18
RXN-12612	EC-3.5.1
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-17877	EC-3.4.11.18
RXN-15889	EC-2.7.8.7
PRPPSYN-RXN	EC-2.7.6.1
RXN-17873	EC-3.4.11.18
GMP-SYN-GLUT-RXN	EC-6.3.5.2
GMP-SYN-NH3-RXN	
RXN-16706	EC-3.5.1.119
RXN0-5248	
NADH-DEHYDROG-A-RXN	EC-7.1.1.2
